ID,In VCF?,Li,Na,Mg,P,S,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Cd
SPU_8,Avg,0.096710965,6138.507257,576.2089656,84.98294434,369.8116416,541.5219045,493.4769985,31.57038116,429.0290288,0.074814826,2.009585365,12.48042362,53.57592528,1.997248742,0.63523896,0.339467508,4.267476232,0.243682185,0.119485169
SPU_9,Avg,0.096710965,6138.507257,576.2089656,84.98294434,369.8116416,541.5219045,493.4769985,31.57038116,429.0290288,0.074814826,2.009585365,12.48042362,53.57592528,1.997248742,0.63523896,0.339467508,4.267476232,0.243682185,0.119485169
SPU_10,Avg,0.096710965,6138.507257,576.2089656,84.98294434,369.8116416,541.5219045,493.4769985,31.57038116,429.0290288,0.074814826,2.009585365,12.48042362,53.57592528,1.997248742,0.63523896,0.339467508,4.267476232,0.243682185,0.119485169
TEMP_BOD_1,n,0.020209582,43.98941898,168.0319353,39.4489108,740.7065314,66.55887463,339.1257333,61.44862649,1154.486454,1.271696432,4.273225591,7.654744103,7.874292517,0.706364618,1.847093974,0.112069365,2.507170793,0.063630796,0.278028672
TEMP_BOD_2,n,0.020605003,44.14984814,180.9964022,38.14448292,818.4423376,64.92824434,387.0504525,80.64579561,1159.837008,1.313229165,4.070494683,7.100301759,38.48169305,0.658069344,1.951398453,0.094468946,2.533041667,0.057665353,0.257489801
TEMP_BOD_3,n,0.017894127,38.19164323,164.8814543,31.7409044,983.8243759,59.21891334,312.7959612,79.67805488,1012.292941,1.217096918,3.972709377,7.031998522,10.12976303,0.648524967,1.394486221,0.087163316,1.483385285,0.049641734,0.325531317
TET_1,n,0.025824125,2383.702307,242.7781856,22.30496241,235.2697833,96.43919956,445.642479,7.613791098,28.45540582,0.050696662,0.15560704,0.478600347,7.619447974,0.440958911,0.119449334,0.058511153,3.640086439,0.011116812,0.020761454
TET_2,y,0.026667779,2548.210152,257.3374573,18.55768153,233.6126018,102.0864708,481.9202409,8.808411382,28.86309893,0.050899881,0.181000262,0.97438995,15.9692155,0.36294615,0.084305878,0.057680772,3.696063427,0.011077199,0.014947721
TET_3,n,0.026746316,2232.892773,235.4223585,20.12663072,213.7959456,94.52480483,470.4718628,8.120991478,27.73307171,0.050051196,0.144450714,0.445140154,5.491151507,0.416096428,0.065758099,0.056177119,3.501372305,0.011409393,0.015061221
TET_4,Avg,0.02641274,2388.268411,245.1793338,20.32975822,227.5594436,97.68349173,466.0115276,8.181064653,28.35052549,0.050549246,0.160352672,0.63271015,9.69327166,0.406667163,0.08983777,0.057456348,3.61250739,0.011201135,0.016923465
TET_6,Avg,0.02641274,2388.268411,245.1793338,20.32975822,227.5594436,97.68349173,466.0115276,8.181064653,28.35052549,0.050549246,0.160352672,0.63271015,9.69327166,0.406667163,0.08983777,0.057456348,3.61250739,0.011201135,0.016923465
TET_8,Avg,0.02641274,2388.268411,245.1793338,20.32975822,227.5594436,97.68349173,466.0115276,8.181064653,28.35052549,0.050549246,0.160352672,0.63271015,9.69327166,0.406667163,0.08983777,0.057456348,3.61250739,0.011201135,0.016923465
TMN_1,n,0.235950063,973.9266059,381.3587234,67.30293561,105.519166,268.5181481,710.0931033,20.18625746,108.9568945,0.154556065,1.041469243,4.052629309,9.881634501,0.256268521,0.493289508,0.309765103,5.067032156,0.040435735,0.194406275
TMN_2,n,0.231623651,989.45601,385.7873767,74.97670947,117.7206793,273.9992337,708.9237632,20.39812768,109.3463045,0.150702053,1.081513451,4.215139087,11.47997693,0.283209079,0.470474804,0.302165826,5.035679152,0.038611259,0.087906933
TMN_3,n,0.232638545,996.1342263,387.3848315,80.2128374,123.831222,272.5694523,726.8341063,20.73195994,109.5248381,0.156014898,1.076253662,4.168581522,10.7840203,0.284680252,0.461687312,0.309297695,5.149838949,0.038960839,0.08900191
TNT_1,n,0.057498774,635.5451936,253.3129216,26.67066036,71.87402281,73.77383284,459.907239,43.64412926,42.88160663,0.079374374,0.315648358,0.4492864,14.70240565,0.432626954,0.129084166,0.051423808,5.215303568,0.056021058,0.016253535
TNT_2,n,0.070614065,751.3856662,286.6275065,19.75920749,78.55164967,85.21622405,523.3500529,51.63343581,46.55586699,0.093423943,0.349259203,0.508871139,9.79004224,0.294210239,0.102904002,0.059013257,5.817330565,0.065820583,0.012440183
TNT_3,n,0.069851085,768.7153855,307.5968705,33.70502289,92.16099831,91.93326552,565.5729065,58.22654736,45.8616595,0.106604937,0.419842849,0.613226865,17.42744204,0.507491607,0.18564149,0.067628965,6.229023901,0.075238286,0.02159206
